,title,date,console
223,Kouchuu Kakutou: Mushi 1 Grand Prix,2005,DS
224,Kouchuu Ouja Mushi King: Greatest Champion e no Michi 2,2006,DS
225,Kouchuu Ouja Mushi King: Greatest Champion e no Michi DS,2005,DS
226,Kouchuu Ouja: Mushi King Super Collection,2007,DS
227,Kouenji Joshi Soccer 2: Koi wa Nebagiba Kouenji,2007,DS
228,Koukou Juken: Eitango Get Through 1900 - Eitan Zamurai DS,2007,DS
229,Koukou Yakyuu Dou DS,2009,DS
230,The Koushounin,2007,DS
231,Koushounin DS: The Negotiator,2009,DS
232,Kousoku Card Battle: Card Hero,2007,DS
233,Kreuzwortraetsel DS: Welt Edition,2010,DS
234,Kumatanchi,2008,DS
235,Kung Fu Panda: Legendary Warriors,2008,DS
236,Kunitori Zunou Battle: Nobunaga no Yabou,2008,DS
237,Kurayami no Hate de Kimi o Matsu,2009,DS
238,Kurikin Nano Island Story,2007,DS
239,Kurukuru * Princess: Tokimeki Figure * Mezase! Vancouver,2009,DS
240,Kuroshitsuji: Phantom & Ghost,2009,DS
241,Kurupoto Cool Cool Stars,2007,DS
242,Kururin Doughnuts: Okashi Recipe,2007,DS
243,Kutsushita Nyanko: Kutsushita o Haita Neko to Kurashi Hajime Mashita,2010,DS
244,Kuukan * Zukei: Hirameki Training - KuuTore,2008,DS
245,Kuwagata Tsumami,2008,DS
246,Kyouryuu Monster,2007,DS
247,L the Prologue to Death Note –Rasen no Wana-,2008,DS
248,L'Enigmistica,2009,DS
249,L'Histoire de France Pour Les Nuls,2008,DS
250,La Carte au Tresor,2009,DS
251,La Culture Generale Pour Les Nuls Edition 2,2009,DS
252,Labyrinth,2005,DS
253,Lalaloopsy,2011,DS
254,Lalaloopsy: Carnival of Friends,2012,DS
255,Lanfeust of Troy,2007,DS
256,Langenscheidt VokabelStar Englisch Fur Einsteiger,2009,DS
257,Langenscheidt VokabelStar Englisch Fur Fortgeschrittene,2009,DS
258,Lapin Malin: J'apprends A Lire Et A Ecrire,2008,DS
259,The Last Airbender,2010,DS
260,Last Bullet,2009,DS
261,Last King of Africa,2008,DS
262,Last Window: The Secret of Cape West,2010,DS
263,Le Bescherelle Pratique,2009,DS
264,Le Code de la Route,2007,DS
265,Le Jeu Officiel: A Prendre ou A Laisser,2008,DS
266,Learn Chess,2009,DS
267,Learn Geography,2009,DS
268,Learn Math,2008,DS
269,Learn Science,2010,DS
270,Learn to Play Chess with Fritz and Chesster,2009,DS
271,Learn with Pokémon: Typing Adventure,2011,DS
272,Learning to Spell,2010,DS
273,Left Brain Right Brain,2007,DS
274,Left Brain Right Brain 2,2008,DS
275,The Legend of Kage 2,2008,DS
276,Legend of Kay,2010,DS
277,The Legend of Spyro: A New Beginning,2006,DS
278,The Legend of Spyro: Dawn of the Dragon,2008,DS
279,The Legend of Spyro: The Eternal Night,2007,DS
280,Legend of the Guardians: The Owls of Ga'Hoole,2010,DS
281,The Legend of Zelda: Phantom Hourglass,2007,DS
282,The Legend of Zelda: Spirit Tracks,2009,DS
283,The Legendary Starfy,2008,DS
284,Lego Batman: The Video Game,2008,DS
285,Lego Batman 2: DC Super Heroes,2012,DS
286,Lego Battles,2009,DS
287,Lego Battles: Ninjago,2011,DS
288,Lego Friends,2014,DS
289,Lego Harry Potter: Years 1–4,2010,DS
290,Lego Harry Potter: Years 5-7,2011,DS
291,Lego Indiana Jones: The Original Adventures,2008,DS
292,Lego Indiana Jones 2: The Adventure Continues,2009,DS
293,Lego Legends of Chima: Laval's Journey,2013,DS
294,Lego The Lord of the Rings,2012,DS
295,Lego Marvel Super Heroes: Universe in Peril,2014,DS
296,Lego Pirates of the Caribbean: The Video Game,2011,DS
297,Lego Rock Band,2009,DS
298,Lego Star Wars: The Complete Saga,2007,DS
299,Lego Star Wars II: The Original Trilogy,2006,DS
300,Lego Star Wars III: The Clone Wars,2011,DS
301,Lernerfolg Grundschule Musik - Little Amadeus,2010,DS
302,Lernerfolg Grundschule: Deutsch - Der Rechtschreibtrainer,2008,DS
303,Lernerfolg Grundschule: Deutsch - Der Rechtschreibtrainer Neue Version,2008,DS
304,"Lernerfolg Grundschule: Deutsch, Klasse 1+2",2008,DS
305,"Lernerfolg Grundschule: Deutsch, Klasse 3+4",2008,DS
306,Lernerfolg Grundschule: Englisch - Der Vokabeltrainer,2008,DS
