player1,player2,score1,score2,round,tourneyName,eventName,date
Ronincat,Shouma,3,0,Winners Round 1,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
Papple,MacMens,3,0,Losers Quarter-Final,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
Marvelo,Dusty,3,2,Losers Quarter-Final,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
Risetto,MacMens,0,3,Losers Round 2,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
Dusty,Smuggles,3,1,Losers Round 2,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
EloDad,Risetto,0,3,Losers Round 1,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
MacMens,Osmosis,3,1,Losers Round 1,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
Dusty,Zippy,3,2,Losers Round 1,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
Lamayo,Smuggles,0,3,Losers Round 1,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
Remi Celeste,WATER-1,3,0,Winners Semi-Final,tns-guilty-gear-strive-46-pc,guilty-gear-strive-pc,7.18.22
Marvelo,Stealthy,3,2,Winners Semi-Final,tns-guilty-gear-strive-46-pc,guilty-gear-strive-pc,7.18.22
Jdjones,Medic,3,2,Winners Semi-Final,tns-guilty-gear-strive-46-pc,guilty-gear-strive-pc,7.18.22
Testyourluck,Miguel,0,3,Winners Semi-Final,tns-guilty-gear-strive-46-pc,guilty-gear-strive-pc,7.18.22
JayRain,Trevwerd,3,0,Losers Round 6,tns-guilty-gear-strive-46-pc,guilty-gear-strive-pc,7.18.22
Lookewarm,Osmosis,2,3,Losers Round 6,tns-guilty-gear-strive-46-pc,guilty-gear-strive-pc,7.18.22
Mop,PORK LAZER,2,3,Losers Round 6,tns-guilty-gear-strive-46-pc,guilty-gear-strive-pc,7.18.22
BlueHek997,Lamayo,3,0,Losers Round 6,tns-guilty-gear-strive-46-pc,guilty-gear-strive-pc,7.18.22
Remi Celeste,RideFGC,3,0,Winners Quarter-Final,tns-guilty-gear-strive-46-pc,guilty-gear-strive-pc,7.18.22
