,opponent,result,score,round,tourneyName,eventName,date
89,Rat,win,3-0,Winners Quarter-Final,tns-guilty-gear-strive-57-pc,guilty-gear-strive-pc,2022-11-07
90,daze,win,3-0,Winners Semi-Final,tns-guilty-gear-strive-57-pc,guilty-gear-strive-pc,2022-11-07
91,Sola,win,3-0,Winners Round 3,tns-guilty-gear-strive-57-pc,guilty-gear-strive-pc,2022-11-07
92,Noisette,win,3-0,Round 1,run-it-thursdays-19-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-pc,2022-11-17
93,pedrito,win,3-1,Round 1,run-it-thursdays-19-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-pc,2022-11-17
94,daze,win,3-0,Round 1,run-it-thursdays-19-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-pc,2022-11-17
95,daze,win,3-0,Round 1,run-it-thursdays-19-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-pc,2022-11-17
96,UMISHO,loss,1-3,Grand Final,run-it-thursdays-19-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-pc,2022-11-17
97,Solstice,win,3-0,Losers Final,run-it-thursdays-19-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-pc,2022-11-17
98,Romolla,win,3-2,Losers Semi-Final,run-it-thursdays-19-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-pc,2022-11-17
99,UMISHO,loss,2-3,Winners Semi-Final,run-it-thursdays-19-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-pc,2022-11-17
100,Overcrack,win,3-2,Losers Quarter-Final,run-it-thursdays-19-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-pc,2022-11-17
101,Somnium,win,3-0,Winners Quarter-Final,run-it-thursdays-19-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-pc,2022-11-17
102,Rat,win,3-0,Round 1,run-it-thursdays-19-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-pc,2022-11-17
103,Dwarl Warberry,win,3-0,Round 1,run-it-thursdays-19-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-pc,2022-11-17
